stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10284,NO237,PIERRE-DE-BLOIS,,,45.262121,-75.757081,,,,,,0,,
10285,NO238,PIERRE-DE-BLOIS,,,45.262932,-75.758349,,,,,,0,,
10286,8494,DISCOVERY / NETWORK ACCESS,,,45.351075,-75.847574,,,0,,,,,
10287,0452,KATIMAVIK / MCGIBBON,,,45.307734,-75.900601,,,0,,,,,
10288,7920,TERRY FOX / HAZELDEAN,,,45.292889,-75.894784,,,0,,,,,
1029,6493,ROBERTSON / NORTHSIDE,,,45.328835,-75.817092,,,0,,,,,
10290,0824,PIERRE-DE-BLOIS,,,45.262817,-75.758175,,,0,,,,,
10291,0825,PIERRE-DE-BLOIS,,,45.262217,-75.757186,,,0,,,,,
10292,5520,COPE / PASEANA,,,45.274677,-75.874788,,,0,,,,,
10293,5521,COPE / PASEANA,,,45.275039,-75.874168,,,0,,,,,
10295,5523,COPE / ROUNCEY,,,45.272722,-75.879519,,,0,,,,,
10297,5525,COPE / DEFENCE,,,45.27087,-75.885509,,,0,,,,,
103,3032,RIVERSIDE 1A (B),,,45.39673,-75.669454,,,0,3032_stn,,,,1A
1030,5295,ROBERTSON / BASELINE,,,45.332467,-75.8142,,,0,,,,,
10300,5527,ROBERT GRANT / COPE,,,45.268042,-75.889828,,,0,,,,,
10302,5529,ROBERT GRANT / FERNBANK,,,45.264807,-75.885804,,,0,,,,,
10304,7183,LEES / SPRINGHURST PARK,,,45.41487,-75.672689,,,0,,,,,
10305,7921,TERRY FOX / HAZELDEAN,,,45.292934,-75.895257,,,0,,,,,
10306,6005,MERIVALE H.S (STUDENTS ONLY),,,45.344243,-75.727486,,,0,,,,,
1031,2310,BASELINE / ROBERTSON,,,45.333842,-75.812125,,,0,,,,,
10313,3080,LANSDOWNE TD PLACE,,,45.398124,-75.685505,,,0,3080_stn,,,,
10314,NO441,BELL H.S,,,45.326713,-75.809574,,,,,,0,,
10316,5302,BELL H.S  NORTH / NORD,,,45.326836,-75.80922,,,0,,,,,
1032,0941,BASELINE / VALLEY STREAM,,,45.333135,-75.805935,,,0,,,,,
10330,5953,LESTER / MEANDERING,,,45.340907,-75.626165,,,0,,,,,
10331,5954,LESTER / MEANDERING,,,45.340713,-75.626011,,,0,,,,,
1034,1698,BASELINE / SANDCASTLE,,,45.335693,-75.799895,,,0,,,,,
10344,3012,WESTBORO B,,,45.395769,-75.752975,,,0,3012_stn,,,,B
10345,0516,BORBRIDGE / SOUTHBRIDGE,,,45.263375,-75.697084,,,0,,,,,
10346,0517,BORBRIDGE / STARGAZER,,,45.263487,-75.69533,,,0,,,,,
10347,0518,BORBRIDGE / BRIAN GOOD,,,45.263956,-75.693508,,,0,,,,,
1035,5250,BASELINE / MONTEREY,,,45.33729,-75.797717,,,0,,,,,
10350,5607,ROUNCEY / COPE,,,45.273242,-75.879341,,,0,,,,,
10353,7101,WANAKI / MIKINAK,,,45.451661,-75.625035,,,0,,,,,
10354,7102,WANAKI / PROVENDER,,,45.449215,-75.62506,,,0,,,,,
10356,4998,CODD'S / MIKINAK,,,45.450566,-75.633694,,,0,,,,,
10357,5761,JEROME JORDIN / DÉCOEUR,,,45.44284,-75.491356,,,0,,,,,
10358,5763,JEROME JORDIN / WILLOW ASTER,,,45.440887,-75.49054,,,0,,,,,
10359,5762,JEROME JORDIN / BARTONIA,,,45.440682,-75.490464,,,0,,,,,
1036,0311,BASELINE / GUTHRIE,,,45.33884,-75.792678,,,0,,,,,
10363,6826,FINDLAY CREEK / BUFFLEHEAD,,,45.314816,-75.607296,,,0,,,,,
10364,4636,CAMBIE / CARNELIAN,,,45.271139,-75.683303,,,0,,,,,
10365,4637,CAMBIE / DREAMCATCHER,,,45.271111,-75.683304,,,0,,,,,
10368,8268,6130 HAZELDEAN,,,45.271111,-75.932632,,,0,,,,,
10369,8263,6085 HAZELDEAN,,,45.270983,-75.933348,,,0,,,,,
1037,SJ215,BASELINE / GREENBANK,,,45.34113,-75.787178,,,,,,0,,
10377,3012,WESTBORO OFF ONLY,,,45.395739,-75.753067,,,0,3012_stn,,,,
10379,8771,ST. FRANCIS XAVIER H.S,,,45.290039,-75.669202,,,0,,,,,
1038,2905,BASELINE / MCWATTERS,,,45.342385,-75.784167,,,0,,,,,
10381,5802,ST JOSEPH H.S,,,45.26255,-75.741602,,,0,,,,,
10382,0382,MONTRÉAL / VANIER,,,45.43458,-75.66526,,,0,,,,,
10383,0631,MONTRÉAL / OLMSTEAD,,,45.43587,-75.66201,,,0,,,,,
10384,0901,MONTRÉAL / MARIER,,,45.43609,-75.661719,,,0,,,,,
10385,0807,MONTRÉAL / LAFONTAINE,,,45.438351,-75.655024,,,0,,,,,
10386,0926,MONTRÉAL / DE L'ÉGLISE,,,45.439373,-75.652308,,,0,,,,,
1039,4569,BASELINE / ROCKWAY,,,45.343895,-75.780487,,,0,,,,,
10391,0445,PALLADIUM / DERREEN,,,45.290027,-75.933046,,,0,,,,,
10392,0446,PALLADIUM / DERREEN,,,45.289525,-75.931935,,,0,,,,,
10394,8769,ST. FRANCIS XAVIER H.S,,,45.290994,-75.668282,,,0,,,,,
10395,0905,PALLADIUM / CAMPEAU,,,45.296904,-75.941498,,,0,,,,,
10396,0906,PALLADIUM / CAMPEAU,,,45.296082,-75.941066,,,0,,,,,
10397,1559,HUNTSVILLE / ESCARPMENT,,,45.318531,-75.943612,,,0,,,,,
10398,6507,ROUNCEY / CLINTONIA,,,45.280727,-75.886311,,,0,,,,,
10399,6508,ROUNCEY / TAPADERO,,,45.279204,-75.884494,,,0,,,,,
104,3033,PLEASANT PARK 1A (B),,,45.392675,-75.669518,,,0,3033_stn,,,,1A
1040,2907,BASELINE / AD. 2323,,,45.345612,-75.77645,,,0,,,,,
10400,6509,ROUNCEY / TAPADERO,,,45.279565,-75.884755,,,0,,,,,
10402,0200,PERSEUS / NOKOMIS,,,45.252254,-75.755421,,,0,,,,,
10403,0201,PERSEUS / NOKOMIS,,,45.252294,-75.755089,,,0,,,,,
10404,0202,APOLUNE / FLAGSTAFF,,,45.249796,-75.754576,,,0,,,,,
10405,0203,APOLUNE / FLAGSTAFF,,,45.249834,-75.75484,,,0,,,,,
1041,4571,BASELINE / CENTREPOINTE,,,45.346557,-75.77413,,,0,,,,,
1042,4572,BASELINE / HIGHGATE,,,45.348092,-75.770393,,,0,,,,,
1043,2909,BASELINE / CENTREPOINTE,,,45.34887,-75.76855,,,0,,,,,
10431,NO450,GLOUCESTER H.S,,,45.440257,-75.597727,,,,,,0,,
10436,8655,ABBOTT / TALLTREE,,,45.270568,-75.901489,,,0,,,,,
1044,0717,CONSTELLATION / GEMINI,,,45.349435,-75.765633,,,0,,,,,
10442,NO234,CEDARVIEW MIDDLE SCHOOL,,,45.277094,-75.779573,,,,,,0,,
10443,3068,LIMEBANK A,,,45.27722,-75.668003,,,0,3068_stn,,,,A
10444,3068,LIMEBANK I,,,45.277321,-75.666391,,,0,3068_stn,,,,I
10445,0532,CEDARVIEW MIDDLE SCHOOL,,,45.276989,-75.779481,,,0,,,,,
10447,0538,CEDARVIEW MIDDLE SCHOOL,,,45.276845,-75.77934,,,0,,,,,
10449,,LAVAL / LAURIER,,,45.425425,-75.716484,,,0,,,,,
10452,6780,SUNNYSIDE / GROSVENOR,,,45.392996,-75.686121,,,0,,,,,
10453,6781,SUNNYSIDE / LEONARD,,,45.392036,-75.688525,,,0,,,,,
10456,DT022,ELGIN / PARK,,,45.413396,-75.686454,,,,,,0,,
10457,7045,RING,,,45.399564,-75.651254,,,0,,,,,
10459,5822,HERON / JEFFERSON,,,45.380181,-75.643653,,,0,,,,,
1046,0707,NIGIG / ALGONQUIN COLLEGE,,,45.34825,-75.75655,,,0,,,,,
10475,6835,SUSSEX / BOTELER,,,45.434143,-75.699292,,,0,,,,,
10476,7905,SUSSEX / BRUYÈRE,,,45.430764,-75.697974,,,0,,,,,
10477,6839,MURRAY / PARENT,,,45.429398,-75.694279,,,0,,,,,
10478,6846,MURRAY / DALHOUSIE,,,45.430184,-75.692383,,,0,,,,,
10479,0757,MANN / KING EDWARD,,,45.419551,-75.67583,,,0,,,,,
1048,4511,BASELINE / NAVAHO,,,45.35448,-75.75562,,,0,,,,,
10480,0758,MANN / KING EDWARD,,,45.419193,-75.676966,,,0,,,,,
10481,2218,SOMERSET W / PRESTON,,,45.408517,-75.713887,,,0,,,,,
10482,2219,SOMERSET W / PRESTON,,,45.40845,-75.713846,,,0,,,,,
10483,8189,LA VERENDRYE / OGILVIE,,,45.45298,-75.597452,,,0,,,,,
10484,2540,LA VÉRENDRYE / GATINEAU VIEW,,,45.452484,-75.601219,,,0,,,,,
10485,2541,LA VÉRENDRYE / GATINEAU VIEW,,,45.453183,-75.603864,,,0,,,,,
10486,8188,LA VÉRENDRYE / OAKDEAN,,,45.456846,-75.606007,,,0,,,,,
10487,2547,LA VÉRENDRYE / OAKDEAN,,,45.460204,-75.607451,,,0,,,,,
10488,2549,QUINCY / RIVERSHORE,,,45.46142,-75.606053,,,0,,,,,
10489,8187,EASTVALE / FILLMORE,,,45.460951,-75.601678,,,0,,,,,
1049,2963,BASELINE / DEER FIELD,,,45.356158,-75.751687,,,0,,,,,
10490,2551,EASTVALE / FILLMORE,,,45.460997,-75.596956,,,0,,,,,
10491,4991,EASTVALE / KENDER,,,45.45757,-75.595119,,,0,,,,,
10492,2557,EASTVALE / GRAFTON,,,45.455281,-75.594559,,,0,,,,,
10493,2558,EASTVALE / HUBBARD,,,45.45401,-75.59388,,,0,,,,,
10494,8948,LOYOLA / EASTVALE,,,45.45205,-75.593071,,,0,,,,,
10495,8185,LOYOLA / DE SALABERRY,,,45.452565,-75.590663,,,0,,,,,
10496,8457,LOYOLA / DE SALABERRY,,,45.452466,-75.590789,,,0,,,,,
10497,1088,SHEFFORD / CANOTEK,,,45.452623,-75.589469,,,0,,,,,
10498,8935,BEARBROOK / NORTHPARK,,,45.435089,-75.566344,,,0,,,,,
10499,8938,BEARBROOK / AD 100,,,45.432571,-75.56506,,,0,,,,,
1050,4510,BASELINE / CORDOVA,,,45.357017,-75.749755,,,0,,,,,
10501,8792,EASTPARK / RIDGEBURN,,,45.435655,-75.559943,,,0,,,,,
10502,8793,EASTPARK / WEDGEWOOD,,,45.435605,-75.559437,,,0,,,,,
10503,2610,INNES / RONDEL,,,45.436,-75.553789,,,0,,,,,
10504,5779,PRESTWICK / DES ÉPINETTES,,,45.46525,-75.495275,,,0,,,,,
10505,5942,DÉCOEUR / SCULPIN,,,45.441942,-75.494893,,,0,,,,,
10506,5930,DÉCOEUR / JEROME JORDIN,,,45.443256,-75.491148,,,0,,,,,
10507,0686,DÉCOEUR / MOUNTAIN SORREL,,,45.445744,-75.487747,,,0,,,,,
10508,0687,DÉCOEUR / AUBÉPINES,,,45.44638,-75.485624,,,0,,,,,
10509,5935,SWEETVALLEY / HENSLOW'S,,,45.441859,-75.479759,,,0,,,,,
1051,2965,BASELINE / BASSANO,,,45.3582,-75.746965,,,0,,,,,
10510,0279,LANTHIER / INNES,,,45.459213,-75.492936,,,0,,,,,
10511,5937,SWEETVALLEY / TENTH LINE,,,45.440263,-75.476172,,,0,,,,,
10512,5760,JEROME JODOIN / BRIAN COBURN,,,45.446601,-75.493314,,,0,,,,,
10513,5765,JEROME JODOIN / DÉCOEUR,,,45.44386,-75.492118,,,0,,,,,
10514,0934,MER BLEUE / BRIAN COBURN,,,45.446609,-75.499325,,,0,,,,,
10515,8643,FERN CASEY / AXIS,,,45.439395,-75.508197,,,0,,,,,
10516,8341,COMPASS / ENCLAVE,,,45.434219,-75.509267,,,0,,,,,
10517,8342,COMPASS / ENCLAVE,,,45.433643,-75.509031,,,0,,,,,
10518,8343,COMPASS / YELLOW BIRCH,,,45.43634,-75.510554,,,0,,,,,
10519,8344,COMPASS / SHINLEAF,,,45.436711,-75.510881,,,0,,,,,
1052,4507,BASELINE / PENDER,,,45.359113,-75.744748,,,0,,,,,
10520,0180,FRANK BENDER  / INNES,,,45.45188,-75.510905,,,0,,,,,
10521,0181,FRANK BENDER  / INNES,,,45.452378,-75.510987,,,0,,,,,
10522,2742,BOTTRIELL / HOSKINS,,,45.475918,-75.491067,,,0,,,,,
10523,2741,BOTTRIELL / HOSKINS,,,45.475633,-75.491103,,,0,,,,,
10524,2743,BOTTRIELL / MERKLEY,,,45.472015,-75.490449,,,0,,,,,
10525,8032,BAYSWATER / SOMERSET W,,,45.40682,-75.720831,,,0,,,,,
10526,4836,KIRKWOOD / CHATELAIN,,,45.377773,-75.734888,,,0,,,,,
10527,7430,KIRKWOOD / WOODWARD,,,45.37954,-75.736897,,,0,,,,,
10528,7556,LAPERRIERE / CLYDE,,,45.375576,-75.747819,,,0,,,,,
10529,0357,CLYDE / LAPERRIERE,,,45.375384,-75.747912,,,0,,,,,
1053,2967,BASELINE / ST HELEN'S,,,45.360115,-75.74253,,,0,,,,,
10533,0001,DE NIVERVILLE / MCGILL,,,45.334272,-75.668119,,,0,,,,,
10534,7993,LEITRIM / ALBION,,,45.320577,-75.623282,,,0,,,,,
10535,3041,LEITRIM A,,,45.314573,-75.631641,,,0,3041_stn,,,,A
10536,3041,LEITRIM B,,,45.314563,-75.630691,,,0,3041_stn,,,,B
10539,0942,SOUTHGATE / AD. 3295,,,45.358876,-75.652586,,,0,,,,,
1054,4485,BASELINE / CLYDE,,,45.361617,-75.739033,,,0,,,,,
10540,4241,CAHILL / SOUTHGATE,,,45.356457,-75.649698,,,0,,,,,
10541,2956,DAZE / MALL ENTRANCE,,,45.353594,-75.652655,,,0,,,,,
10542,2957,DAZE / MALL ENTRANCE,,,45.353841,-75.652461,,,0,,,,,
10543,8883,ALBION / ALADDIN,,,45.339589,-75.634808,,,0,,,,,
10544,8884,ALBION / MAASS,,,45.34236,-75.636401,,,0,,,,,
10545,0593,QUEENSDALE / SIXTH,,,45.34926,-75.621537,,,0,,,,,
10546,3990,FINDLAY CREEK / TRIDENT,,,45.321731,-75.589963,,,0,,,,,
10547,3991,FINDLAY CREEK / WOOLER,,,45.322769,-75.587385,,,0,,,,,
10548,3993,ROTARY CHAMOMILE,,,45.326566,-75.587741,,,0,,,,,
10549,3994,ROTARY / NETTLE,,,45.328344,-75.589177,,,0,,,,,
10550,3995,ROTARY / FERNSIDE,,,45.329641,-75.592253,,,0,,,,,
10551,3996,ROTARY / FAIRWEATHER,,,45.32858,-75.594938,,,0,,,,,
